OI,Open,Settle,Volume,Close,Contract,Low,OI Chg,Prev Settle,Turnover,Chg,High
OI Chg,Open,Chg,OI,Close,Contract,Low,Turnover,Settle,,Volume,High
-256,346,-13,0,346,i1512,346,"1,937.60",342,,56,346
"-26,688",299,8,"276,112",304,i1601,296,"9,867,769.90",300.5,,"327,900",306
-20,295,10,264,304,i1602,295,"1,266.00",301,,42,306.5
0,292,0,154,292,i1603,292,58.40,292,,2,292
8,282.5,1,218,291.5,i1604,282.5,"1,442.30",288,,50,293.5
"66,726",287.5,5,"1,453,536",290.5,i1605,285,"68,722,323.70",288.5,,"2,379,148",293
58,287,2,358,291,i1606,286.5,"4,537.60",287,,158,291
0,-,-1.5,16,286,i1607,-,0.00,286,,0,-
0,285.5,0,72,285.5,i1608,285.5,57.10,285.5,,2,285.5
"22,470",282,3.5,"435,130",285,i1609,280,"6,114,725.40",284,,"215,206",289
26,286.5,2,570,286.5,i1610,285,"1,325.10",288,,46,291
-2,286,3.5,204,286.5,i1611,286,114.50,286,,4,286.5
"62,322",,,"2,166,634",,Iron Ore Subtotal,,"84,715,557.60",,,"2,922,614",
"62,322",,,"2,166,634",,Total,,"84,715,557.60",,,"2,922,614",
