Chg,High,OI,OI Chg,Open,Settle,Close,Contract,Low,Prev Settle,Turnover,Volume
Volume,High,OI Chg,Turnover,Open,Chg,Close,Contract,Low,Settle,,OI
56,346,-256,"1,937.60",346,-13,346,i1512,346,342,,0
"327,900",306,"-26,688","9,867,769.90",299,8,304,i1601,296,300.5,,"276,112"
42,306.5,-20,"1,266.00",295,10,304,i1602,295,301,,264
2,292,0,58.40,292,0,292,i1603,292,292,,154
50,293.5,8,"1,442.30",282.5,1,291.5,i1604,282.5,288,,218
"2,379,148",293,"66,726","68,722,323.70",287.5,5,290.5,i1605,285,288.5,,"1,453,536"
158,291,58,"4,537.60",287,2,291,i1606,286.5,287,,358
0,-,0,0.00,-,-1.5,286,i1607,-,286,,16
2,285.5,0,57.10,285.5,0,285.5,i1608,285.5,285.5,,72
"215,206",289,"22,470","6,114,725.40",282,3.5,285,i1609,280,284,,"435,130"
46,291,26,"1,325.10",286.5,2,286.5,i1610,285,288,,570
4,286.5,-2,114.50,286,3.5,286.5,i1611,286,286,,204
"2,922,614",,"62,322","84,715,557.60",,,,Iron Ore Subtotal,,,,"2,166,634"
"2,922,614",,"62,322","84,715,557.60",,,,Total,,,,"2,166,634"
