High,OI,Open,Settle,Volume,Close,Contract,Low,OI Chg,Prev Settle,Turnover,_id,Chg
High,OI,Open,Settle,Volume,Close,Contract,Low,OI Chg,Prev Settle,Turnover,cAgeBiL6amihDs31MGDiic3O38GuBJ0_,Chg
375,"43,274",369.5,371,"6,656",375,i1601,367,"-5,446",369.5,"247,185.20",iREPN6TVCYu60W118BQbjEZ5uZVCKEiS,5.5
344,470,339,340,62,344,i1602,336,2,339,"2,109.80",n8CJ6hn8Fiec2Q4YJx5rYdJfYBHSC3jU,5
335,98,329.5,332.5,32,335,i1603,327.5,10,334.5,"1,064.30",3_S3GuDuSnVycv7-w5e5DddVRz74FCLr,0.5
329.5,142,325,326.5,32,329.5,i1604,323,-4,325.5,"1,045.60",NxeVgjDjzVFu9EwdKJYrkYURzQzmsCS_,4
326,"1,568,360",321,322.5,"2,595,252",324.5,i1605,319,"10,340",323.5,"83,792,487.20",QBlFv1aWlM6YSZH8ZQK0ApVYc1E34tak,1
321,322,317,318,28,321,i1606,315.5,6,320,890.80,kv8LSrt4CXbq-4-cuvOXULaVCyrsI5vd,1
-,6,-,314,0,314,i1607,-,0,313,0.00,OGcDVV0BBpcpPIqs_bd5xzj2vROE629V,1
-,46,-,315,0,315,i1608,-,0,315,0.00,T81IVxeRmTO7ilqGj4lPVvFtGxfxwksN,0
310.5,"359,176",308,308.5,"184,274",309.5,i1609,306.5,"-21,318",311,"5,685,878.80",Y1xV8Vmbkm9cnBEySkZiq6a7dDN_l6m5,-1.5
310,470,309,308.5,16,308.5,i1610,308,-6,311,494.30,VuPjAXq57--rg1jfOZXLVfJL9XPXczNC,-2.5
310,202,306.5,309,16,310,i1611,306.5,8,311.5,495.00,aXP1xvEMV8vuleJeQHiDXCbEm-84YDsA,-1.5
-,116,-,311,0,311,i1612,-,0,311,0.00,sCOfzKTmYC0al8FgRJLYlRc_NcAPchiR,0
,"1,972,682",,,"2,786,368",,Iron Ore Subtotal,,"-16,408",,"89,731,651.00",Y1a2scts6MB07_Xi8v4Y7HL0ddJtFk6y,
,"1,972,682",,,"2,786,368",,Total,,"-16,408",,"89,731,651.00",vTSUZbV-FrJLf7pXN0OvearstqIU7ZVH,
