Close,Contract,High,OI Chg,Open,Prev Settle,Turnover,Volume,Chg,Low,OI,Settle
Close,Contract,High,Turnover,Open,Settle,,OI,Volume,Low,OI Chg,Chg
346,i1512,346,"1,937.60",346,342,,0,56,346,-256,-13
304,i1601,306,"9,867,769.90",299,300.5,,"276,112","327,900",296,"-26,688",8
304,i1602,306.5,"1,266.00",295,301,,264,42,295,-20,10
292,i1603,292,58.40,292,292,,154,2,292,0,0
291.5,i1604,293.5,"1,442.30",282.5,288,,218,50,282.5,8,1
290.5,i1605,293,"68,722,323.70",287.5,288.5,,"1,453,536","2,379,148",285,"66,726",5
291,i1606,291,"4,537.60",287,287,,358,158,286.5,58,2
286,i1607,-,0.00,-,286,,16,0,-,0,-1.5
285.5,i1608,285.5,57.10,285.5,285.5,,72,2,285.5,0,0
285,i1609,289,"6,114,725.40",282,284,,"435,130","215,206",280,"22,470",3.5
286.5,i1610,291,"1,325.10",286.5,288,,570,46,285,26,2
286.5,i1611,286.5,114.50,286,286,,204,4,286,-2,3.5
,Iron Ore Subtotal,,"84,715,557.60",,,,"2,166,634","2,922,614",,"62,322",
,Total,,"84,715,557.60",,,,"2,166,634","2,922,614",,"62,322",
