Low,Open,Prev Settle,Settle,Volume,Chg,Contract,High,Turnover,Close,OI,OI Chg
Low,Open,Settle,Chg,OI,Volume,Contract,High,,Close,OI Chg,Turnover
346,346,342,-13,0,56,i1512,346,,346,-256,"1,937.60"
296,299,300.5,8,"276,112","327,900",i1601,306,,304,"-26,688","9,867,769.90"
295,295,301,10,264,42,i1602,306.5,,304,-20,"1,266.00"
292,292,292,0,154,2,i1603,292,,292,0,58.40
282.5,282.5,288,1,218,50,i1604,293.5,,291.5,8,"1,442.30"
285,287.5,288.5,5,"1,453,536","2,379,148",i1605,293,,290.5,"66,726","68,722,323.70"
286.5,287,287,2,358,158,i1606,291,,291,58,"4,537.60"
-,-,286,-1.5,16,0,i1607,-,,286,0,0.00
285.5,285.5,285.5,0,72,2,i1608,285.5,,285.5,0,57.10
280,282,284,3.5,"435,130","215,206",i1609,289,,285,"22,470","6,114,725.40"
285,286.5,288,2,570,46,i1610,291,,286.5,26,"1,325.10"
286,286,286,3.5,204,4,i1611,286.5,,286.5,-2,114.50
,,,,"2,166,634","2,922,614",Iron Ore Subtotal,,,,"62,322","84,715,557.60"
,,,,"2,166,634","2,922,614",Total,,,,"62,322","84,715,557.60"
