Turnover,Volume,Chg,Low,Prev Settle,Settle,OI Chg,Open,Close,Contract,High,OI
,OI,Volume,Low,Settle,Chg,Turnover,Open,Close,Contract,High,OI Chg
,0,56,346,342,-13,"1,937.60",346,346,i1512,346,-256
,"276,112","327,900",296,300.5,8,"9,867,769.90",299,304,i1601,306,"-26,688"
,264,42,295,301,10,"1,266.00",295,304,i1602,306.5,-20
,154,2,292,292,0,58.40,292,292,i1603,292,0
,218,50,282.5,288,1,"1,442.30",282.5,291.5,i1604,293.5,8
,"1,453,536","2,379,148",285,288.5,5,"68,722,323.70",287.5,290.5,i1605,293,"66,726"
,358,158,286.5,287,2,"4,537.60",287,291,i1606,291,58
,16,0,-,286,-1.5,0.00,-,286,i1607,-,0
,72,2,285.5,285.5,0,57.10,285.5,285.5,i1608,285.5,0
,"435,130","215,206",280,284,3.5,"6,114,725.40",282,285,i1609,289,"22,470"
,570,46,285,288,2,"1,325.10",286.5,286.5,i1610,291,26
,204,4,286,286,3.5,114.50,286,286.5,i1611,286.5,-2
,"2,166,634","2,922,614",,,,"84,715,557.60",,,Iron Ore Subtotal,,"62,322"
,"2,166,634","2,922,614",,,,"84,715,557.60",,,Total,,"62,322"
